질병명,항목,내용
비특이성 유방통증 - 유방통,비특이성 유방통증 - 유방통증상,유방에서 고통이 느껴짐 - 유방통 양쪽 유방의 통증 촉진하면 가슴 통증이 심해짐 살짝만 닿아도 통증이 느껴짐 통증
비호지킨 림프종,병원을 꼭 방문해야 하는비호지킨 림프종증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) 일주일에 체중을 10% 감량합니다
비호지킨 림프종,비호지킨 림프종자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 일주일에 3번 규칙적으로 운동합니다 "통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." "불안 수준을 낮추는 데 도움이 되는 활동(요가 태극권 명상)에 자주 참여합니다."
비호지킨 림프종,비호지킨 림프종증상,지침/피로 과도 발한 식욕 상실 목의 림프절 종창 림프절이 부음
비환원성 서혜탈장 또는 대퇴탈장,병원 방문 필요 증상,없음
비환원성 서혜탈장 또는 대퇴탈장,비환원성 서혜탈장 또는 대퇴탈장증상,서혜부 통증 복부가 무겁거나 속이 뒤집어지는 느낌 왼쪽 아랫배에 통증이 있음 음낭이 커짐 누르면 복통이 증가함
비환원성 서혜탈장 또는 대퇴탈장,자가 관리 방법,없음
비후성유문협착 (소아청소년과),병원 방문 필요 증상,없음
비후성유문협착 (소아청소년과),비후성유문협착 (소아청소년과)자가 관리 방법,하루에 물 2리터를 섭취합니다.
비후성유문협착 (소아청소년과),비후성유문협착 (소아청소년과)증상,우유 구토 분출 구토 음식물 섭취 후 구토 다량의 구토 과민성
빈혈 - 빈혈 증후군,병원을 꼭 방문해야 하는빈혈 - 빈혈 증후군증상,두근거림 호흡곤란 감각 흐린 시야. 두통
빈혈 - 빈혈 증후군,빈혈 - 빈혈 증후군자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 일주일에 3번 규칙적으로 운동합니다
빈혈 - 빈혈 증후군,빈혈 - 빈혈 증후군증상,창백함 지침/피로 생리의 양이 너무 많거나 생리 기간이 오래 지속됨 흑변 호흡이 곤란한 느낌
빠른 심방세동,병원을 꼭 방문해야 하는빠른 심방세동증상,두통 가슴의 통증 사지의 민감성 및/또는 운동성 얼굴 한쪽의 감각마비 또는 위축 과도한 발한 호흡곤란 감각
빠른 심방세동,빠른 심방세동자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 카페인 소비를 줄입니다 담배 소비량을 줄입니다 알코올 소비량을 줄입니다 비만 또는 과체중인 경우 체중을 감량합니다 심리적 스트레스를 유발하는 상황을 줄입니다 항부정맥제 또는 심장율동전환 치료에 대해 일반의와 상의하세요 항응고제에 대해 일반의와 상의하세요
빠른 심방세동,빠른 심방세동증상,심장이 평소보다 빠르게 뜀 불규칙적 심박동 두근거림 휴식 시 숨참 저혈압
뼈연골염 - 이단성 골연골염,병원을 꼭 방문해야 하는뼈연골염 - 이단성 골연골염증상,초기 치료 후 2주 넘게 증상이 지속됩니다 관절 가동 범위가 제한됨
뼈연골염 - 이단성 골연골염,뼈연골염 - 이단성 골연골염자가 관리 방법,"통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
뼈연골염 - 이단성 골연골염,뼈연골염 - 이단성 골연골염증상,정강이 윗부분 통증 사지에 종괴가 나타남 경골을 누르면 통증이 심해짐 달릴 때 및/또는 계단을 오를 때 무릎 통증이 증가함 뼈를 만지면 종괴가 느껴짐
사람유두종바이러스로 인한 생식기 사마귀 - 생식기 콘딜로마,병원을 꼭 방문해야 하는사람유두종바이러스로 인한 생식기 사마귀 - 생식기 콘딜로마증상,상처에 출혈이 있습니다 색상의 변화 일상생활에 지장을 주는 통증 사마귀가 지속되거나 증식합니다 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
사람유두종바이러스로 인한 생식기 사마귀 - 생식기 콘딜로마,사람유두종바이러스로 인한 생식기 사마귀 - 생식기 콘딜로마자가 관리 방법,"사마귀를 문지르거나 누르거나 ""터뜨리지"" 마세요" "냉동요법 치료 레이저 또는 수술적 제거에 대해 일반의와 상의하세요" "성관계를 피하고 성관계를 하는 경우 콘돔과 같은 피임 방법을 사용합니다"
사람유두종바이러스로 인한 생식기 사마귀 - 생식기 콘딜로마,사람유두종바이러스로 인한 생식기 사마귀 - 생식기 콘딜로마증상,생식기 사마귀 여러 생식기 융기가 콜리플라워와 같은 모양으로 무리를 이룸 만지면 부드러운 생식 기관 사마귀 귀두의 작은 융기 감염 위험이 있는 성행위
사마귀,병원을 꼭 방문해야 하는사마귀증상,상처에 출혈이 있습니다 색상의 변화 일상생활에 지장을 주는 통증 사마귀가 지속되거나 증식합니다 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
사마귀,사마귀자가 관리 방법,"사마귀를 문지르거나 누르거나 ""터뜨리지"" 마세요" "냉동요법 치료 레이저 또는 수술적 제거에 대해 일반의와 상의하세요"
사마귀,사마귀증상,표면이 거칠고 불규칙한 피부 병변 "작고 둥글고 거친 피부 병변" 둥근 피부 병변을 누르면 고통스러움 피부 병변이 나머지 피부와 색이 다름 피부 병변이 솟아오름
사산,병원 방문 필요 증상,없음
사산,사산증상,태아 운동 없음 태아의 움직임 감소 "과체중 또는 비만 BMI 25~29.9" 비만이며 BMI가 30 이상임 질 출혈
사산,자가 관리 방법,없음
사상충증,병원 방문 필요 증상,없음
사상충증,사상충증증상,전신 가려움 납작하거나 약간 불룩한 붉은 반점 피부 결절 눈에 모래가 들어간 듯한 느낌 눈 가려움증
사상충증,자가 관리 방법,없음
사회 불안 장애,병원을 꼭 방문해야 하는사회 불안 장애증상,자살을 생각 또는 시도함
사회 불안 장애,사회 불안 장애자가 관리 방법,심리적 스트레스를 유발하는 상황을 줄입니다 일주일에 3번 규칙적으로 운동합니다 심리치료 및 치료법에 대해 일반의와 상의하세요 "불안 수준을 낮추는 데 도움이 되는 활동(요가 태극권 명상)에 자주 참여합니다." 알코올 소비량을 줄입니다 카페인 소비를 줄입니다 불안 완화 치료를 받으려면 일반의와 상의하세요
사회 불안 장애,사회 불안 장애증상,인간관계에서 모욕당하거나 평가받는 것에 대한 강렬한 두려움 직업 또는 교육 수준의 사회적 불안 변화 두려움 때문에 도망치고 싶다는 충동 공공장소에서 긴장함 타인이 있는 곳을 피함
사회적 의사소통 장애,병원 방문 필요 증상,없음
사회적 의사소통 장애,사회적 의사소통 장애증상,친구를 사귀기가 힘들어서 좌절감을 느낌 다양한 상황에서 의사소통하는 방법에 익숙해지기가 어려움 "은유 아이러니 속담 또는 유머를 이해하는 데 어려움이 있음" 사회적 교류를 시작하거나 그러한 교류에 응하기 어려움 친구를 사귀는 데 어려움이 있음
사회적 의사소통 장애,자가 관리 방법,없음
산후기 자궁내막염,병원 방문 필요 증상,없음
산후기 자궁내막염,산후기 자궁내막염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
산후기 자궁내막염,산후기 자궁내막염증상,지속적 질 출혈 악취가 나는 질 분비물 발열/매우 더운 느낌 국소 복통 오한
산후 유방 울혈,병원을 꼭 방문해야 하는산후 유방 울혈증상,발열(38ºC를 초과하는 체온) 유두에서 녹색 또는 붉은 분비물이 나옴 유두 모양의 변화 가슴의 피부가 움푹 패이거나 주름이 있음(오렌지와 유사함)
산후 유방 울혈,산후 유방 울혈자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 식간 또는 식후에 냉찜질을 하면 염증과 불편함을 줄일 수 있습니다 온찜질이나 온수 샤워를 하면 손이나 흡입을 통한 유즙 분비 및 유축이 개선됩니다
산후 유방 울혈,산후 유방 울혈증상,유방 답답함 양쪽 유방의 통증 유방에서 고통이 느껴짐 - 유방통 젖꼭지에서 하얀 액체가 나옴 유두에서 액체가 분비됨
살리실산염 중독,병원 방문 필요 증상,없음
살리실산염 중독,살리실산염 중독증상,이명이 있음 오심 귀가 울림 회전 감각 맥박 산소 측정기 포화도가 80% 미만임
살리실산염 중독,자가 관리 방법,없음
살모넬라증,병원 방문 필요 증상,없음
살모넬라증,살모넬라증자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
살모넬라증,살모넬라증증상,설사 오심 대변 내 고름 묽은 피가 섞여 있는 대변 국소 복통
삼차신경통,병원을 꼭 방문해야 하는삼차신경통증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) 사지의 민감성 및/또는 운동성
삼차신경통,삼차신경통자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 항경련제에 대해 일반의와 상의하세요 근육 이완제에 대해 일반의와 상의하세요
삼차신경통,삼차신경통증상,간헐적 안면 통증 얼굴 한쪽의 통증 전기 쇼크 같은 통증 안면 근육 연축 이통
삼환계 항우울제 중독,병원 방문 필요 증상,없음
삼환계 항우울제 중독,삼환계 항우울제 중독증상,혼수 시력 저하 의식 소실 감소 맥박 산소 측정기 포화도가 80% 미만임 입안 건조
삼환계 항우울제 중독,자가 관리 방법,없음
상대정맥증후군,병원 방문 필요 증상,없음
상대정맥증후군,상대정맥증후군자가 관리 방법,이뇨제에 대해 일반의와 상의하세요.
상대정맥증후군,상대정맥증후군증상,호흡이 곤란한 느낌 목의 경정맥이 비대해짐 사지 종창 종창 얼굴 종창
상부위장관출혈 - 트라이츠인대 근위부,병원 방문 필요 증상,없음
상부위장관출혈 - 트라이츠인대 근위부,상부위장관출혈 - 트라이츠인대 근위부증상,흑변 토혈 커피 찌꺼기와 유사한 토사물 심장이 평소보다 빠르게 뜀 창백함
상부위장관출혈 - 트라이츠인대 근위부,자가 관리 방법,없음
상습성중독 - 약물 남용,병원 방문 필요 증상,없음
상습성중독 - 약물 남용,상습성중독 - 약물 남용증상,물질을 섭취하고 싶은 욕구가 강함 더 많은 물질을 섭취해야 함 알코올 및/또는 약물 복용에 대한 자제력 부족 사용량을 줄이려고 함 "약물을 입수하고 사용하고 회복하는 데 시간이 걸림"
상습성중독 - 약물 남용,자가 관리 방법,없음
상심실성 빈맥 (소아청소년과),병원 방문 필요 증상,없음
상심실성 빈맥 (소아청소년과),상심실성 빈맥 (소아청소년과)증상,두근거림 호흡이 곤란한 느낌 의식을 잃음 지침/피로 흉통
상심실성 빈맥 (소아청소년과),자가 관리 방법,없음
색전증으로 인한 급성 동맥 허혈,병원 방문 필요 증상,없음
색전증으로 인한 급성 동맥 허혈,색전증으로 인한 급성 동맥 허혈증상,사지에 맥박이 뛰지 않음 신체 양쪽의 맥박 강도가 다름 창백함 피부가 차가움 손톱을 눌렀다 뗄 때 원래 색으로 돌아오는 데 2초 이상 걸림
색전증으로 인한 급성 동맥 허혈,자가 관리 방법,없음
생리통,병원을 꼭 방문해야 하는생리통증상,진통제로도 멈추지 않는 통증 악취가 나는 흰색 또는 갈색의 분비물 발열(38ºC를 초과하는 체온) 생리 중 출혈 생리 기간과 일치하지 않는 통증
생리통,생리통자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 일주일에 3번 규칙적으로 운동합니다 증상이 있는 부위에 열을 가합니다 심리적 스트레스를 유발하는 상황을 줄입니다
생리통,생리통증상,통증성 월경 아래 허리 통증 간헐적이고 심한 복통 골반 부위 통증 두통
생식기/회음부 괴사성 근막염 - 포니에르 괴저,병원 방문 필요 증상,없음
생식기/회음부 괴사성 근막염 - 포니에르 괴저,생식기/회음부 괴사성 근막염 - 포니에르 괴저자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
생식기/회음부 괴사성 근막염 - 포니에르 괴저,생식기/회음부 괴사성 근막염 - 포니에르 괴저증상,음낭이 더 어두워짐 발열/매우 더운 느낌 항문 불편감 치골의 통증 고환 통증
샤가스병,병원을 꼭 방문해야 하는샤가스병증상,호흡곤란 호흡곤란 감각 삼키기 어려움 구토물 장을 비우거나 가스를 배출할 수 없음 급격히 증가하는 복통
샤가스병,샤가스병자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 항기생충제에 대해 일반의와 상의하세요
샤가스병,샤가스병증상,물린 부위의 피부 변화 발열/매우 더운 느낌 눈 주위에 부기가 있음 전신 통증 물린 부위에 부어오른 종괴가 있음
선근증,병원 방문 필요 증상,없음
선근증,선근증자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다."
선근증,선근증증상,생리의 양이 너무 많거나 생리 기간이 오래 지속됨 매월 주기적으로 일어나는 통증 골반 부위 통증 통증성 월경 생식기 출혈
선천성 갑상선기능저하증 (소아청소년과),병원을 꼭 방문해야 하는선천성 갑상선기능저하증 (소아청소년과)증상,스스로 먹으려는 욕구 부족 피부가 노란색으로 변색됨 과민성 또는 자극에 대한 반응 감소 근긴장도 부족
선천성 갑상선기능저하증 (소아청소년과),선천성 갑상선기능저하증 (소아청소년과)자가 관리 방법,레보티록신에 대해 일반의와 상의하세요
선천성 갑상선기능저하증 (소아청소년과),선천성 갑상선기능저하증 (소아청소년과)증상,쉰 울음 성장 지연 근육이완증 건조하고 약한 모발 건성 피부
선천성 응고 병증: 폰 빌레브란트병,병원을 꼭 방문해야 하는선천성 응고 병증: 폰 빌레브란트병증상,전신에 갑자기 생긴 멍 통증 또는 관절 염증 머리 부상과 함께 있는 경우 멈추지 않는 출혈
선천성 응고 병증: 폰 빌레브란트병,선천성 응고 병증: 폰 빌레브란트병자가 관리 방법,"아스피린 이부프로펜 나프록센과 같은 진통제는 의사의 조언 없이 복용하지 마세요." 질병명이 적힌 의료용 식별 팔찌를 사용합니다 "럭비 격투기 하키 핸드볼 등과 같이 타박상을 유발할 수 있는 활동은 피하세요." 일주일에 3번 규칙적으로 운동합니다
선천성 응고 병증: 폰 빌레브란트병,선천성 응고 병증: 폰 빌레브란트병증상,흑변 기침할 때 피가 나옴 묽은 피가 섞여 있는 대변 대변 내 진한 색 피 소변 내 혈액이 섞여 나옴
섬유근통,병원을 꼭 방문해야 하는섬유근통증상,두근거림 가슴의 통증 목 강직 발열(38ºC를 초과하는 체온) 발작을 동반하는 경우 정신착란
섬유근통,섬유근통자가 관리 방법,일주일에 3번 규칙적으로 운동합니다 매일 6~8시간의 휴식과 수면을 취합니다 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 심리적 스트레스를 유발하는 상황을 줄입니다 "균형 잡힌 식단을 유지하고 수용성 섬유질(과일 및 채소)을 섭취하며 가스를 생성하는 음식(콩 양배추 콜리플라워 브로콜리) 보존제가 함유된 탄산음료 합성 감미료 및 정제 설탕은 섭취하지 않는 것이 좋습니다."
섬유근통,섬유근통증상,목 뒤쪽의 뼈가 튀어나온 부위에 통증이 있음 등 위쪽과 중간 부분의 통증 전완 부위 통증 광범위한 근육통 승모근 통증
성기단순포진 - 헤르페스2형,병원을 꼭 방문해야 하는성기단순포진 - 헤르페스2형증상,발열(38ºC를 초과하는 체온) 두통 발작을 동반하는 경우 목 강직 영향을 받은 부위에 통증이 있고 붉게 변하는 궤양 가렵고 갈라지고 투명한 액체나 고름이 흘러나오는 붉은 궤양
성기단순포진 - 헤르페스2형,성기단순포진 - 헤르페스2형자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다 "구강 항문 및 질 성교 시 콘돔을 사용합니다" 항바이러스 치료에 대해 일반의와 상의하세요
성기단순포진 - 헤르페스2형,성기단순포진 - 헤르페스2형증상,통증성 궤양을 유발하는 생식기 소수포 치골의 통증성 소수포 항문 및 생식기 부위의 수포 피부 소수포/수포 통증이 있는 림프절
성홍열 (소아청소년과),병원을 꼭 방문해야 하는성홍열 (소아청소년과)증상,고열(39ºC 이상) 점액과 고름이 섞인 가래 삼킬 수 없음 24시간 동안 500ml 청량음료 한 병보다 적은 양의 소변을 봅니다 콜라색 또는 어두운 색의 소변
성홍열 (소아청소년과),성홍열 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다" 항생제에 대해 일반의와 상의하세요
성홍열 (소아청소년과),성홍열 (소아청소년과)증상,피부 발진 딸기 같은 혀 발열/매우 더운 느낌 피부 주름에서 더 붉어지는 발진 편도선이 적색 및/또는 부음
세균성 결막염,병원을 꼭 방문해야 하는세균성 결막염증상,초기 치료 후 2주 넘게 증상이 지속됩니다 시각 장애 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
세균성 결막염,세균성 결막염자가 관리 방법,눈을 비비지 않습니다 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 눈에 인공 또는 항히스타민제 점적약제를 사용합니다 콘택트렌즈 사용을 중지하세요 항생제에 대해 일반의와 상의하세요
세균성 결막염,세균성 결막염증상,자고 일어나면 눈꺼풀이 서로 붙어있음 눈에서 체액 배출 많은 양의 눈물이 남 한쪽 눈만 충혈됨 양쪽 눈 충혈
세균성 결막염 (소아청소년과),병원을 꼭 방문해야 하는세균성 결막염 (소아청소년과)증상,초기 치료 후 2주 넘게 증상이 지속됩니다 시각 장애 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
세균성 결막염 (소아청소년과),세균성 결막염 (소아청소년과)자가 관리 방법,눈을 비비지 않습니다 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 눈에 인공 또는 항히스타민제 점적약제를 사용합니다 콘택트렌즈 사용을 중지하세요 항생제에 대해 일반의와 상의하세요
세균성 결막염 (소아청소년과),세균성 결막염 (소아청소년과)증상,양쪽 눈 충혈 눈에 뭔가 들어간 듯한 느낌 눈 및/또는 눈꺼풀의 분비물 눈에 모래가 들어간 듯한 느낌 자고 일어나면 눈꺼풀이 서로 붙어있음
세균성 수막염,병원 방문 필요 증상,없음
세균성 수막염,세균성 수막염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다"
세균성 수막염,세균성 수막염증상,혼수 의식 소실 감소 목 경직 빛이 불편함 졸림증
세균성 수막염 (소아청소년과),병원 방문 필요 증상,없음
세균성 수막염 (소아청소년과),세균성 수막염 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다"
세균성 수막염 (소아청소년과),세균성 수막염 (소아청소년과)증상,의식 소실 감소 목 경직 39ºC~39.9ºC의 열 과민성 사지의 경련
세균성 질증,병원을 꼭 방문해야 하는세균성 질증증상,심한 복통 고열(39ºC 이상) 희끄무레한 액체(고름) 분비
세균성 질증,세균성 질증자가 관리 방법,항생제에 대해 일반의와 상의하세요 "성관계를 피하고 성관계를 하는 경우 콘돔과 같은 피임 방법을 사용합니다" 알코올 소비량을 줄입니다
세균성 질증,세균성 질증증상,회색 질 분비물 악취가 나는 질 분비물 소변을 볼 때 불편함 감염 위험이 있는 성행위 질 분비물
세균성 편도인두염,병원을 꼭 방문해야 하는세균성 편도인두염증상,쉰소리 호흡곤란 부기 및 편측 목 통증 "해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" 입을 벌리기 어려움 삼키기 어려움
세균성 편도인두염,세균성 편도인두염자가 관리 방법,근육 통증이나 열(38°C를 초과하는 체온)이 있는 경우 이부프로펜 또는 파라세타몰과 같은 진통제 및 해열제를 복용합니다 하루에 물 2리터를 섭취합니다. "통증 완화에 도움이 되는 음료와 음식(차 수프 꿀 등)을 섭취합니다" 항생제에 대해 일반의와 상의하세요 담배 연기에 노출되지 않도록 하세요 매운 음식을 피하세요 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
세균성 편도인두염,세균성 편도인두염증상,편도선이 적색 및/또는 부음 인후 통증 편도선의 고름 목의 림프절 종창 목이 자극을 받았거나 부어 있음
세균성 편도인두염 (소아청소년과),병원을 꼭 방문해야 하는세균성 편도인두염 (소아청소년과)증상,"해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" 호흡곤란 또는 침흘림 부기 및 편측 목 통증 쉰소리 입을 벌리기 어려움 삼키기 어려움
세균성 편도인두염 (소아청소년과),세균성 편도인두염 (소아청소년과)자가 관리 방법,하루에 물 2리터를 섭취합니다. "통증 완화에 도움이 되는 음료와 음식(차 수프 꿀 등)을 섭취합니다" 항생제에 대해 일반의와 상의하세요 담배 연기에 노출되지 않도록 하세요 매운 음식을 피하세요 근육 통증이나 열(38°C를 초과하는 체온)이 있는 경우 이부프로펜 또는 파라세타몰과 같은 진통제 및 해열제를 복용합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
세균성 편도인두염 (소아청소년과),세균성 편도인두염 (소아청소년과)증상,인후 통증 편도선의 고름 편도선이 적색 및/또는 부음 39ºC~39.9ºC의 열 전신 병감(권태)
세기관지염 (소아청소년과),병원 방문 필요 증상,없음
세기관지염 (소아청소년과),세기관지염 (소아청소년과)자가 관리 방법,열이 있는 경우(체온이 38°C 초과) 일반 해열제(이부프로펜 또는 파라세타몰)를 복용합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
세기관지염 (소아청소년과),세기관지염 (소아청소년과)증상,호흡 시 쌕쌕거림 호흡곤란 콧구멍의 돌출 및 단일 수축 마른 기침 발열/매우 더운 느낌
세로토닌재흡수억제제 중독,SSRI - 세로토닌증후군","세로토닌재흡수억제제 중독 SSRI - 세로토닌증후군증상"구토 "세로토닌재흡수억제제 중독 SSRI - 세로토닌증후군증상"입안 건조 "세로토닌재흡수억제제 중독 SSRI - 세로토닌증후군증상"맥박 산소 측정기 포화도가 80% 미만임 "세로토닌재흡수억제제 중독 SSRI - 세로토닌증후군증상"혼수 "세로토닌재흡수억제제 중독 SSRI - 세로토닌증후군증상"경련 병원 방문 필요 증상없음 자가 관리 방법없음
세 번째 발가락 절단,병원 방문 필요 증상,없음
세 번째 발가락 절단,세 번째 발가락 절단자가 관리 방법,눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다
세 번째 발가락 절단,세 번째 발가락 절단증상,세 번째 발가락 절단 최근 오른쪽 세 번째 발가락 절단 최근 왼쪽 세 번째 발가락 절단 외상성 절단 출혈
소발작 뇌전증 - 소발작 (소아청소년과),병원 방문 필요 증상,없음
소발작 뇌전증 - 소발작 (소아청소년과),소발작 뇌전증 - 소발작 (소아청소년과)증상,정신적 단절감 몇 초간 주변과 단절됨 혼수 떨림 거동 불가능(강직증)
소발작 뇌전증 - 소발작 (소아청소년과),자가 관리 방법,없음
소아기 감염 홍반/제5병/따귀를 맞은 듯한 무증상의 홍반 (소아청소년과),병원을 꼭 방문해야 하는소아기 감염 홍반/제5병/따귀를 맞은 듯한 무증상의 홍반 (소아청소년과)증상,빈혈 병력 임신 "해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
소아기 감염 홍반/제5병/따귀를 맞은 듯한 무증상의 홍반 (소아청소년과),소아기 감염 홍반/제5병/따귀를 맞은 듯한 무증상의 홍반 (소아청소년과)자가 관리 방법,근육 통증이나 열(38°C를 초과하는 체온)이 있는 경우 이부프로펜 또는 파라세타몰과 같은 진통제 및 해열제를 복용합니다 하루에 물 2리터를 섭취합니다. 임산부와의 접촉을 피하세요
소아기 감염 홍반/제5병/따귀를 맞은 듯한 무증상의 홍반 (소아청소년과),소아기 감염 홍반/제5병/따귀를 맞은 듯한 무증상의 홍반 (소아청소년과)증상,뺨이 붉게 변함 "피부가 ""레이스처럼” 붉어짐 또는 발진" 장갑/양말 모양으로 가렵고 붉어짐 피부 변화 발열/매우 더운 느낌
소아기 일과성 고관절활액막염 (소아청소년과),병원을 꼭 방문해야 하는소아기 일과성 고관절활액막염 (소아청소년과)증상,고열(39ºC 이상) 심한 복통 사지를 움직일 수 없음
소아기 일과성 고관절활액막염 (소아청소년과),소아기 일과성 고관절활액막염 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
소아기 일과성 고관절활액막염 (소아청소년과),소아기 일과성 고관절활액막염 (소아청소년과)증상,편측 고관절 통증 고관절 통증 최근에 절뚝거리기 시작함 걷는 데 어려움이 있음 한쪽 관절의 통증
소아청소년기 손목 염좌 (소아청소년과),병원을 꼭 방문해야 하는소아청소년기 손목 염좌 (소아청소년과)증상,진통제로도 멈추지 않는 통증 증상이 있는 부위의 통증 및 부기 증가 손가락 감각마비 또는 저림
소아청소년기 손목 염좌 (소아청소년과),소아청소년기 손목 염좌 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다 갑자기 움직이지 마세요
소아청소년기 손목 염좌 (소아청소년과),소아청소년기 손목 염좌 (소아청소년과)증상,손목 통증 손 통증 손목 타박상 손목 부음 움직일 때 손목이 뻣뻣함
소장천공,병원 방문 필요 증상,없음
소장천공,소장천공증상,복부 크기 증가 복부가 상자처럼 딱딱함 복통이 심해서 꼼짝하지 않고 누워 있어야 함 심장이 평소보다 빠르게 뜀 국소 복통
소장천공,자가 관리 방법,없음
소지 절단,병원 방문 필요 증상,없음
소지 절단,소지 절단자가 관리 방법,눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다
소지 절단,소지 절단증상,새끼손가락 절단 최근 왼쪽 새끼손가락 절단 최근 오른쪽 새끼손가락 절단 외상성 절단 출혈
소출혈,병원을 꼭 방문해야 하는소출혈증상,탈수 증상: 평소보다 더 피곤하고 어지럽고 입과 혀가 마릅니다. 의식수준 상실 항응고제 사용 병력 20분 이상의 출혈이 계속되는 경우
소출혈,소출혈자가 관리 방법,물과 비누로 상처 부위를 완전히 씻어냅니다 눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다 하루에 물 2리터를 섭취합니다.
소출혈,소출혈증상,350~750ml의 경미한 출혈 출혈 자상 또는 상처 350ml 미만의 매우 경미한 출혈 작은 핏자국
소화불량,병원을 꼭 방문해야 하는소화불량증상,혈성구토물 어두운 색의 변/흑변 급격히 증가하는 복통 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다." 발열(38ºC를 초과하는 체온)
